label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,1,25,7.636363636363637,30.909090909090907,501.774525145321,scale,1,-0.004027584740084578,3,18,21
0,50,knn,1,25,7.636363636363637,30.909090909090907,501.774525145321,scale+thin,1,-0.004027584740084578,3,37,40
0,50,knn,2,25,7.636363636363637,30.909090909090907,501.774525145321,none,1,-0.002806983959187548,6,0,6
0,50,knn,2,25,7.636363636363637,30.909090909090907,501.774525145321,scale,1,-0.004027584740084578,6,18,24
0,50,knn,2,25,7.636363636363637,30.909090909090907,501.774525145321,scale+thin,1,-0.004027584740084578,6,37,43
0,50,knn,3,25,7.636363636363637,30.909090909090907,501.774525145321,none,1,-0.002806983959187548,9,0,9
0,50,knn,3,25,7.636363636363637,30.909090909090907,501.774525145321,scale,1,-0.004027584740084578,9,18,27
0,50,knn,3,25,7.636363636363637,30.909090909090907,501.774525145321,scale+thin,1,-0.004027584740084578,9,37,46
0,50,knn,1,26,7.636363636363637,41.81818181818181,593.9298338756057,none,1,-0.016027486594554663,3,0,3
0,50,knn,1,26,7.636363636363637,41.81818181818181,593.9298338756057,scale,1,-0.017445819759717707,3,18,21
0,50,knn,1,26,7.636363636363637,41.81818181818181,593.9298338756057,scale+thin,1,-0.021823020356538048,3,55,58
0,50,knn,2,26,7.636363636363637,41.81818181818181,593.9298338756057,none,1,-0.016027486594554663,6,0,6
0,50,knn,2,26,7.636363636363637,41.81818181818181,593.9298338756057,scale,1,-0.017445819759717707,6,18,24
0,50,knn,2,26,7.636363636363637,41.81818181818181,593.9298338756057,scale+thin,1,-0.021823020356538048,6,55,61
0,50,knn,3,26,7.636363636363637,41.81818181818181,593.9298338756057,none,1,-0.016027486594554663,9,0,9
0,50,knn,3,26,7.636363636363637,41.81818181818181,593.9298338756057,scale,1,-0.017445819759717707,9,18,27
0,50,knn,3,26,7.636363636363637,41.81818181818181,593.9298338756057,scale+thin,1,-0.021823020356538048,9,55,64
